localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 13:14:49] "GET /BBSS/register HTTP/1.1" 200 - "http://localhost:8081/BBSS/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=78aiwvnamnwq10q4ft7m8fuwk"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 13:14:50] "GET /BBSS/resources/Font-Awesome/css/bootstrap.min.css HTTP/1.1" 404 333 "http://localhost:8081/BBSS/register" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=zitsooupo3vx1dgfk06h6h0qa"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 13:14:50] "GET /BBSS/resources/images/01.jpg HTTP/1.1" 304 - "http://localhost:8081/BBSS/register" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=zitsooupo3vx1dgfk06h6h0qa"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 13:15:21] "POST /BBSS/register HTTP/1.1" 200 - "http://localhost:8081/BBSS/register" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=zitsooupo3vx1dgfk06h6h0qa"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 13:41:41] "GET /BBSS/register HTTP/1.1" 200 - "http://localhost:8081/BBSS/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=zitsooupo3vx1dgfk06h6h0qa"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 13:41:46] "GET /BBSS/addClassify HTTP/1.1" 200 - "http://localhost:8081/BBSS/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=1dckfk9j897e24gnx7xap7h35"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 13:41:47] "GET /BBSS/resources/Font-Awesome/css/bootstrap.min.css HTTP/1.1" 404 333 "http://localhost:8081/BBSS/addClassify" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=1dckfk9j897e24gnx7xap7h35"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 13:43:39] "GET /BBSS/addBook HTTP/1.1" 200 - "http://localhost:8081/BBSS/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=1dckfk9j897e24gnx7xap7h35"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 13:43:39] "GET /BBSS/resources/Font-Awesome/css/bootstrap.min.css HTTP/1.1" 404 333 "http://localhost:8081/BBSS/addBook" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=1edyckv7berqk3tyaoi9gc488"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 13:44:00] "POST /BBSS/addBook HTTP/1.1" 500 8187 "http://localhost:8081/BBSS/addBook" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=1edyckv7berqk3tyaoi9gc488"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 14:07:23] "POST /BBSS/addBook HTTP/1.1" 500 8187 "http://localhost:8081/BBSS/addBook" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=1edyckv7berqk3tyaoi9gc488"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 14:39:33] "GET /BBSS/register HTTP/1.1" 200 - "http://localhost:8081/BBSS/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=1edyckv7berqk3tyaoi9gc488"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 14:39:33] "GET /BBSS/resources/Font-Awesome/css/bootstrap.min.css HTTP/1.1" 404 333 "http://localhost:8081/BBSS/register" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=eo4fxvm9wnm4gj64pnas4at0"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 14:39:33] "GET /BBSS/resources/css/bootstrap.min.css HTTP/1.1" 304 - "http://localhost:8081/BBSS/register" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=eo4fxvm9wnm4gj64pnas4at0"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 14:39:33] "GET /BBSS/resources/Font-Awesome/css/font-awesome.min.css HTTP/1.1" 304 - "http://localhost:8081/BBSS/register" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=eo4fxvm9wnm4gj64pnas4at0"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 14:39:33] "GET /BBSS/resources/js/jquery.validate.min.js HTTP/1.1" 304 - "http://localhost:8081/BBSS/register" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=eo4fxvm9wnm4gj64pnas4at0"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 14:39:33] "GET /BBSS/resources/js/bootstrap.min.js HTTP/1.1" 304 - "http://localhost:8081/BBSS/register" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=eo4fxvm9wnm4gj64pnas4at0"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 14:39:33] "GET /BBSS/resources/js/jquery.min.js HTTP/1.1" 304 - "http://localhost:8081/BBSS/register" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=eo4fxvm9wnm4gj64pnas4at0"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 14:39:56] "POST /BBSS/register HTTP/1.1" 200 - "http://localhost:8081/BBSS/register" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=eo4fxvm9wnm4gj64pnas4at0"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 14:48:58] "GET /BBSS/register HTTP/1.1" 200 - "http://localhost:8081/BBSS/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=eo4fxvm9wnm4gj64pnas4at0"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 14:49:02] "GET /BBSS/addClassify HTTP/1.1" 200 - "http://localhost:8081/BBSS/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=9gy9twx7lkwo1v7i27oh1stpo"
